Naive;Knn;LR
0.89;0.9;0.65
0.82;0.83;0.37
0.89;0.89;0.65
0.88;0.92;0.35
0.88;0.9;0.43
0.91;0.94;0.6
0.86;0.89;0.59
0.89;0.88;0.35
0.95;0.93;0.4
0.89;0.88;0.5
0.85;0.88;0.34
0.91;0.92;0.33
0.91;0.89;0.59
0.88;0.9;0.32
0.91;0.9;0.54
0.88;0.9;0.34
0.89;0.88;0.46
0.91;0.92;0.49
0.88;0.88;0.57
0.88;0.91;0.39
