Naive;Knn;LR
-0.89;-0.92;-0.54
-0.87;-0.86;-0.37
-0.83;-0.86;-0.52
-0.85;-0.89;-0.35
-0.89;-0.89;-0.43
-0.92;-0.92;-0.53
-0.89;-0.86;-0.49
-0.91;-0.94;-0.35
-0.91;-0.91;-0.4
-0.88;-0.9;-0.48
-0.87;-0.87;-0.34
-0.89;-0.89;-0.33
-0.84;-0.84;-0.49
-0.84;-0.83;-0.32
-0.88;-0.89;-0.51
-0.82;-0.84;-0.34
-0.87;-0.86;-0.46
-0.91;-0.94;-0.52
-0.9;-0.88;-0.55
-0.85;-0.89;-0.39
